Этаж,Комнатность,Отделка,Вид из окон,Стоимость,Общая площадь (м.кв.),Высота потолка (м.),Срок сдачи
2,2к,Черновая,Во двор,6312500,"50,5","2,74",3 квартал 2027
2,2к,Черновая,Во двор,6045840,"49,76","2,74",3 квартал 2027
2,2к,Черновая,На улицу,6292485,"51,79","2,74",3 квартал 2027
2,1к,Черновая,На улицу,5491200,"35,2","2,74",3 квартал 2027
2,1к,Черновая,На улицу,5140200,"32,95","2,74",3 квартал 2027
2,1к,Черновая,На улицу,4942500,"32,95","2,74",3 квартал 2027
2,1к,Черновая,На улицу,5614400,"35,2","2,74",3 квартал 2027
2,2к,Черновая,На улицу,6525540,"51,79","2,74",3 квартал 2027
2,2к,Черновая,Во двор,5672640,"49,76","2,74",3 квартал 2027
2,2к,Черновая,Во двор,6363000,"50,5","2,74",3 квартал 2027
3,2к,Черновая,Во двор,5807500,"50,5","2,74",3 квартал 2027
3,2к,Черновая,Во двор,6045840,"49,76","2,74",3 квартал 2027
3,2к,Черновая,На улицу,7405970,"51,79","2,74",3 квартал 2027
3,1к,Черновая,На улицу,5755200,"35,2","2,74",3 квартал 2027
3,1к,Черновая,На улицу,3196150,"32,95","2,74",3 квартал 2027
3,1к,Черновая,На улицу,3295000,"32,95","2,74",3 квартал 2027
3,1к,Черновая,На улицу,3660800,"35,2","2,74",3 квартал 2027
3,2к,Черновая,На улицу,4686995,"51,79","2,74",3 квартал 2027
3,2к,Черновая,Во двор,5672640,"49,76","2,74",3 квартал 2027
3,2к,Черновая,Во двор,6135750,"50,5","2,74",3 квартал 2027
4,2к,Черновая,Во двор,5984250,"50,5","2,74",3 квартал 2027
4,2к,Черновая,Во двор,5672640,"49,76","2,74",3 квартал 2027
4,2к,Черновая,На улицу,6344275,"51,79","2,74",3 квартал 2027
4,1к,Черновая,На улицу,5614400,"35,2","2,74",3 квартал 2027
4,1к,Черновая,На улицу,5387325,"32,95","2,74",3 квартал 2027
4,1к,Черновая,На улицу,5387325,"32,95","2,74",3 квартал 2027
4,1к,Черновая,На улицу,5614400,"35,2","2,74",3 квартал 2027
4,2к,Черновая,На улицу,6577330,"51,79","2,74",3 квартал 2027
4,2к,Черновая,Во двор,5175040,"49,76","2,74",3 квартал 2027
4,2к,Черновая,Во двор,6337750,"50,5","2,74",3 квартал 2027
5,2к,Черновая,Во двор,6135750,"50,5","2,74",3 квартал 2027
5,2к,Черновая,Во двор,5772160,"49,76","2,74",3 квартал 2027
5,2к,Черновая,На улицу,4557520,"51,79","2,74",3 квартал 2027
5,1к,Черновая,На улицу,4241600,"35,2","2,74",3 квартал 2027
5,1к,Черновая,На улицу,3130250,"32,95","2,74",3 квартал 2027
5,1к,Черновая,На улицу,4662425,"32,95","2,74",3 квартал 2027
5,1к,Черновая,На улицу,5755200,"35,2","2,74",3 квартал 2027
5,2к,Черновая,На улицу,7405970,"51,79","2,74",3 квартал 2027
5,2к,Черновая,Во двор,5622880,"49,76","2,74",3 квартал 2027
5,2к,Черновая,Во двор,6161000,"50,5","2,74",3 квартал 2027
6,2к,Черновая,Во двор,6312500,"50,5","2,74",3 квартал 2027
6,2к,Черновая,Во двор,5672640,"49,76","2,74",3 квартал 2027
6,2к,Черновая,На улицу,6318380,"51,79","2,74",3 квартал 2027
6,1к,Черновая,На улицу,3396800,"35,2","2,74",3 квартал 2027
6,1к,Черновая,На улицу,3789250,"32,95","2,74",3 квартал 2027
6,1к,Черновая,На улицу,3657450,"32,95","2,74",3 квартал 2027
6,1к,Черновая,На улицу,4083200,"35,2","2,74",3 квартал 2027
6,2к,Черновая,На улицу,7069335,"51,79","2,74",3 квартал 2027
6,2к,Черновая,Во двор,7115680,"49,76","2,74",3 квартал 2027
6,2к,Черновая,Во двор,7221500,"50,5","2,74",3 квартал 2027
7,2к,Черновая,Во двор,7221500,"50,5","2,74",3 квартал 2027
7,2к,Черновая,Во двор,7115680,"49,76","2,74",3 квартал 2027
7,2к,Черновая,На улицу,6188905,"51,79","2,74",3 квартал 2027
7,1к,Черновая,На улицу,3414400,"35,2","2,74",3 квартал 2027
7,1к,Черновая,На улицу,3130250,"32,95","2,74",3 квартал 2027
7,1к,Черновая,На улицу,3970475,"32,95","2,74",3 квартал 2027
7,1к,Черновая,На улицу,3414400,"35,2","2,74",3 квартал 2027
7,2к,Черновая,На улицу,4557520,"51,79","2,74",3 квартал 2027
7,2к,Черновая,Во двор,5199920,"49,76","2,74",3 квартал 2027
7,2к,Черновая,Во двор,4696500,"50,5","2,74",3 квартал 2027
8,2к,Черновая,Во двор,4469250,"50,5","2,74",3 квартал 2027
8,2к,Черновая,Во двор,4926240,"49,76","2,74",3 квартал 2027
8,2к,Черновая,На улицу,7405970,"51,79","2,74",3 квартал 2027
8,1к,Черновая,На улицу,5755200,"35,2","2,74",3 квартал 2027
8,1к,Черновая,На улицу,3789250,"32,95","2,74",3 квартал 2027
8,1к,Черновая,На улицу,4481200,"32,95","2,74",3 квартал 2027
8,1к,Черновая,На улицу,5227200,"35,2","2,74",3 квартал 2027
8,2к,Черновая,На улицу,5852270,"51,79","2,74",3 квартал 2027
8,2к,Черновая,Во двор,4503280,"49,76","2,74",3 квартал 2027
8,2к,Черновая,Во двор,4696500,"50,5","2,74",3 квартал 2027
9,2к,Черновая,Во двор,6312500,"50,5","2,74",3 квартал 2027
9,2к,Черновая,Во двор,4926240,"49,76","2,74",3 квартал 2027
9,2к,Черновая,На улицу,6292485,"51,79","2,74",3 квартал 2027
9,1к,Черновая,На улицу,3414400,"35,2","2,74",3 квартал 2027
9,1к,Черновая,На улицу,5387325,"32,95","2,74",3 квартал 2027
9,1к,Черновая,На улицу,4316450,"32,95","2,74",3 квартал 2027
9,1к,Черновая,На улицу,3344000,"35,2","2,74",3 квартал 2027
9,2к,Черновая,На улицу,6655015,"51,79","2,74",3 квартал 2027
9,2к,Черновая,Во двор,4403760,"49,76","2,74",3 квартал 2027
9,2к,Черновая,Во двор,6337750,"50,5","2,74",3 квартал 2027
10,2к,Черновая,Во двор,6464000,"50,5","2,74",3 квартал 2027
10,2к,Черновая,Во двор,5672640,"49,76","2,74",3 квартал 2027
10,2к,Черновая,На улицу,5386160,"51,79","2,74",3 квартал 2027
10,1к,Черновая,На улицу,5491200,"35,2","2,74",3 квартал 2027
10,1к,Черновая,На улицу,4118750,"32,95","2,74",3 квартал 2027
10,1к,Черновая,На улицу,4003425,"32,95","2,74",3 квартал 2027
10,1к,Черновая,На улицу,5755200,"35,2","2,74",3 квартал 2027
10,2к,Черновая,На улицу,7405970,"51,79","2,74",3 квартал 2027
10,2к,Черновая,Во двор,6543440,"49,76","2,74",3 квартал 2027
