Тема,Заголовок,Застройщик,Приоритет застройщика,Приоритет от стейкхолдеров,Дата создания,Модуль,Состояние пожелания,ID задачи
API: Общие интеграции,Получать по API количество отправленных КП,ЮСИ,A,Нет: приоритет от стейкхолдера,24 дек. 2025 15:31,Внешнее API (apiintegration),Рассматривает аккаунт,HELPDESK-6419
API: Общие интеграции,Добавить метод dealcard/list и reserve/list в расширенное API,Яркий,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,28 мар. 2024 19:25,Внешнее API (apiintegration),В очереди на разработку,HELPDESK-1391
CRM: Общие интеграции,Добавить в конфигуратор отчетов параметр для фильтрации по незаполненным данным,Амград,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,19 дек. 2025 17:50,Конфигуратор отчётов (configurator),Рассматривает аккаунт,HELPDESK-6403
CRM: Общие интеграции,Расширить набор передаваемых в CRM из ALLIO полей,Макси,C,Нет: приоритет от стейкхолдера,29 февр. 2024 17:49,Интеграции CRM (crm),Рассматривает аккаунт,HELPDESK-1145
CRM: Общие интеграции,Добавить возможность связывать несколько сделок ALLIO с одной и той же сделкой в CRM,Расцвет,C,Нет: приоритет от стейкхолдера,7 мар. 2024 14:04,Интеграции CRM (crm),Рассматривает аккаунт,HELPDESK-1213
CRM: Статусы брони,Передавать в Битрикс статус брони,УДС,B,Нет: приоритет от стейкхолдера,5 дек. 2025 08:08,Интеграции CRM (crm),Рассматривает аккаунт,HELPDESK-6289
CRM: Фильтрация воронок,"Добавить автоматический переход по стадиям воронки, если бронь отменена автоматически (вышел срок)",УДС,B,Нет: приоритет от стейкхолдера,25 мар. 2024 12:22,Интеграции CRM (crm),Не делаем,HELPDESK-1340
CRM: Фильтрация воронок,Фильтровать доступные для АН воронки при связи с ЦРМ,ALLIO Demo,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,30 июл. 2025 11:58,Интеграции CRM (crm),На проверке,HELPDESK-5509
EVA: Акции в каталоге,Добавить в каталог Ева акции для помещений,Формула Сити,A,Нет: приоритет от стейкхолдера,11 нояб. 2025 18:32,Акции (promo),Зафиксировано,HELPDESK-6130
EVA: Доработки интерфейса,EVA - доработка сайта,Формула Сити,A,Нет: приоритет от стейкхолдера,23 дек. 2025 18:14,EVA,В очереди на разработку,HELPDESK-6415
EVA: Общие доработки,Редирект сайта,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,11 авг. 2025 12:00,EVA,Рассматривает аккаунт,HELPDESK-5590
EVA: Общие доработки,Убрать отправку заявки на почту на всех сайтах,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,14 мая 2024 12:31,EVA,Не делаем,HELPDESK-1729
EVA: Общие доработки,Почему в админке нельзя изменить дату ввода ЖК,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,22 янв. 2025 15:57,EVA,Зафиксировано,HELPDESK-4095
EVA: Общие доработки,Добавить в ЕВУ отправку КП и Шахматку,Русская Европа,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,25 нояб. 2025 15:43,EVA,Рассматривает разработка,HELPDESK-6225
EVA: Фильтрация помещений,Не выводить в каталог ЕВА заблокированные помещения,Формула Сити,B,Нет: приоритет от стейкхолдера,16 дек. 2025 15:04,EVA,В очереди на разработку,HELPDESK-6372
АЦО: Общие,Добавить копирование правил АЦО,Оникс,C,Нет: приоритет от стейкхолдера,1 апр. 2024 11:10,АЦО (pricecfg),Зафиксировано,HELPDESK-1400
АЦО: Общие,Добавить возможность изменять цену при массовой смене цен менее чем на 1%,Плюс,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,2 дек. 2025 09:26,Массовая смена цен (price_change),Рассматривает разработка,HELPDESK-6261
АЦО: Общие,Почему не отражается история изменения цены,Атлас,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,23 дек. 2025 07:52,Массовая смена цен (price_change),Рассматривает аккаунт,HELPDESK-6408
АЦО: Общие,Добавить возможность отката последней переоценки,Плюс,B,Нет: приоритет от стейкхолдера,25 нояб. 2025 11:39,Массовая смена цен (price_change),Рассматривает разработка,HELPDESK-6221
АЦО: Общие,Реализовать отложенное изменение цен,Аквилон,B,Нет: приоритет от стейкхолдера,26 апр. 2024 11:25,Массовая смена цен (price_change),Зафиксировано,HELPDESK-1647
АЦО: Общие,Добавить столбец со стоимостью объекта в конфигуратор отчетов,Амград,A,Нет: приоритет от стейкхолдера,28 июл. 2025 12:47,Конфигуратор отчётов (configurator),Зафиксировано,HELPDESK-5483
АЦО: Общие,Добавить функционал отложенного повышения цен,Верен,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,28 нояб. 2025 12:44,Массовая смена цен (price_change),Рассматривает разработка,HELPDESK-6245
АЦО: Общие,Отображать изменения при смене цен более 50%,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,28 окт. 2025 13:56,Массовая смена цен (price_change),Зафиксировано,HELPDESK-6034
АЦО: Общие,Добавить сброс фильтров при условии невозможности совпадения параметров,Плюс,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,8 дек. 2025 11:04,Массовая смена цен (price_change),Рассматривает разработка,HELPDESK-6301
АЦО: Общие,Отражать понижение цен по помещениям через отчет,Аквилон,Нет: приоритет застройщика,Нет: приоритет от стейкхолдера,9 сент. 2025 10:29,Карточка помещения (space),Рассматривает разработка,HELPDESK-5758
