Этаж,Комнатность,Отделка,Вид из окон,Стоимость,Общая площадь (м.кв.),Высота потолка (м.),Срок сдачи
4,1к,Серый ключ,Во двор,10205000,65,"3,15",3 квартал 2027
4,2к,Серый ключ,На улицу,11981200,"77,8","3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,7837500,"47,5","3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,7227500,"41,3","3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,9240000,"61,6","3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,9210000,"61,4","3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,8058000,51,"3,15",3 квартал 2027
4,2к,Серый ключ,Во двор,12544000,"89,6","3,15",3 квартал 2027
5,1к,Серый ключ,Во двор,10335000,65,"3,15",3 квартал 2027
5,2к,Серый ключ,На улицу,12525800,"77,8","3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,7980000,"47,5","3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,7640500,"41,3","3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,9486400,"61,6","3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,9455600,"61,4","3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,8144000,"50,9","3,15",3 квартал 2027
6,2к,Серый ключ,Во двор,10530000,65,"3,15",3 квартал 2027
6,2к,Серый ключ,На улицу,12370200,"77,8","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,8075000,"47,5","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,8673000,"41,3","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,10040800,"61,6","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,9762600,"61,4","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,8754800,"50,9","3,15",3 квартал 2027
6,2к,Серый ключ,Во двор,12992000,"89,6","3,15",3 квартал 2027
7,2к,Серый ключ,Во двор,10725000,65,"3,15",3 квартал 2027
7,2к,Серый ключ,На улицу,12448000,"77,8","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,8075000,"47,5","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,7847000,"41,3","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,10255600,"61,6","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,10192400,"61,4","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,8958400,"50,9","3,15",3 квартал 2027
7,2к,Серый ключ,Во двор,13440000,"89,6","3,15",3 квартал 2027
8,1к,Серый ключ,Во двор,11050000,65,"3,15",3 квартал 2027
8,2к,Серый ключ,На улицу,12837000,"77,8","3,15",3 квартал 2027
8,1к,Серый ключ,На улицу,8075000,"47,5","3,15",3 квартал 2027
8,1к,Серый ключ,На улицу,9003400,"41,3","3,15",3 квартал 2027
8,1к,Серый ключ,На улицу,10595200,"61,6","3,15",3 квартал 2027
8,1к,Серый ключ,На улицу,10560800,"61,4","3,15",3 квартал 2027
8,1к,Серый ключ,На улицу,9721900,"50,9","3,15",3 квартал 2027
9,2к,Серый ключ,На улицу,12975900,"77,7","3,15",3 квартал 2027
9,1к,Серый ключ,На улицу,9520000,"47,6","3,15",3 квартал 2027
9,1к,Серый ключ,На улицу,8260000,"41,3","3,15",3 квартал 2027
9,1к,Серый ключ,На улицу,10780000,"61,6","3,15",3 квартал 2027
9,1к,Серый ключ,На улицу,9072400,"61,3","3,15",3 квартал 2027
9,1к,Серый ключ,На улицу,9945000,51,"3,15",3 квартал 2027
9,2к,Серый ключ,Во двор,13888000,"89,6","3,15",3 квартал 2027
10,2к,Серый ключ,Во двор,11375000,65,"3,15",3 квартал 2027
10,2к,Серый ключ,На улицу,13209000,"77,7","3,15",3 квартал 2027
10,1к,Серый ключ,На улицу,7790000,"47,5","3,15",3 квартал 2027
10,1к,Серый ключ,На улицу,7410600,"41,4","3,15",3 квартал 2027
10,1к,Серый ключ,На улицу,11088000,"61,6","3,15",3 квартал 2027
10,1к,Серый ключ,На улицу,11052000,"61,4","3,15",3 квартал 2027
10,1к,Серый ключ,На улицу,8415000,51,"3,15",3 квартал 2027
11,1к,Серый ключ,Во двор,11700000,65,"3,15",3 квартал 2027
11,1к,Серый ключ,На улицу,9737500,"47,5","3,15",3 квартал 2027
11,1к,Серый ключ,На улицу,9108000,"41,4","3,15",3 квартал 2027
11,1к,Серый ключ,На улицу,11951000,"64,6","3,15",3 квартал 2027
11,1к,Серый ключ,На улицу,11914000,"64,4","3,15",3 квартал 2027
12,1к,Серый ключ,На улицу,9522000,"41,4","3,15",3 квартал 2027
2,2к,Серый ключ,На улицу,11858000,"84,7","3,15",3 квартал 2027
2,2к,Серый ключ,На улицу,12936000,"92,4","3,15",3 квартал 2027
3,1к,Серый ключ,Во двор,9042800,"61,1","3,15",3 квартал 2027
3,1к,Серый ключ,На улицу,9225900,"60,3","3,15",3 квартал 2027
3,2к,Серый ключ,На улицу,13923600,"84,9","3,15",3 квартал 2027
3,2к,Серый ключ,На улицу,13398000,"92,4","3,15",3 квартал 2027
4,1к,Серый ключ,Во двор,9165000,"61,1","3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,9467100,"60,3","3,15",3 квартал 2027
4,2к,Серый ключ,На улицу,12225600,"84,9","3,15",3 квартал 2027
4,2к,Серый ключ,На улицу,13675200,"92,4","3,15",3 квартал 2027
5,1к,Серый ключ,Во двор,9470500,"61,1","3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,9587700,"60,3","3,15",3 квартал 2027
5,2к,Серый ключ,На улицу,12974400,"84,8","3,15",3 квартал 2027
5,2к,Серый ключ,На улицу,14044800,"92,4","3,15",3 квартал 2027
6,1к,Серый ключ,На улицу,9828900,"60,3","3,15",3 квартал 2027
6,2к,Серый ключ,На улицу,12720000,"84,8","3,15",3 квартал 2027
6,2к,Серый ключ,На улицу,14322000,"92,4","3,15",3 квартал 2027
7,1к,Серый ключ,На улицу,10190700,"60,3","3,15",3 квартал 2027
7,2к,Серый ключ,На улицу,14670400,"84,8","3,15",3 квартал 2027
8,1к,Серый ключ,Во двор,9959300,"61,1","3,15",3 квартал 2027
8,1к,Серый ключ,На улицу,10793700,"60,3","3,15",3 квартал 2027
8,2к,Серый ключ,На улицу,15433600,"84,8","3,15",3 квартал 2027
8,2к,Серый ключ,На улицу,14876400,"92,4","3,15",3 квартал 2027
9,1к,Серый ключ,На улицу,11229500,"60,7","3,15",3 квартал 2027
9,2к,Серый ключ,На улицу,14924000,91,"3,15",3 квартал 2027
10,2к,Серый ключ,На улицу,14320000,"89,5","3,15",3 квартал 2027
10,2к,Серый ключ,На улицу,16257500,"92,9","3,15",3 квартал 2027
11,2к,Серый ключ,На улицу,13302000,"73,9","3,15",3 квартал 2027
2,1к,Чистовая,Во двор и на улицу,11905400,"49,4","3,15",3 квартал 2027
2,2к,Чистовая,На улицу,12144000,"52,8","3,15",3 квартал 2027
2,1к,Чистовая,Во двор и на улицу,13272000,"55,3","3,15",3 квартал 2027
3,1к,Чистовая,Во двор и на улицу,12622500,"49,5","3,15",3 квартал 2027
3,2к,Чистовая,На улицу,12236000,"53,2","3,15",3 квартал 2027
3,1к,Чистовая,Во двор и на улицу,13272000,"55,3","3,15",3 квартал 2027
4,1к,Чистовая,Во двор и на улицу,12425000,"49,7","3,15",3 квартал 2027
4,2к,Чистовая,На улицу,12236000,"53,2","3,15",3 квартал 2027
4,1к,Чистовая,Во двор и на улицу,13272000,"55,3","3,15",3 квартал 2027
5,1к,Чистовая,Во двор,12847500,"57,1","3,15",3 квартал 2027
5,2к,Чистовая,Во двор,19803000,"86,1","3,15",3 квартал 2027
5,1к,Чистовая,Во двор и на улицу,15184800,"68,4","3,15",3 квартал 2027
5,1к,Чистовая,На улицу,14602500,"64,9","3,15",3 квартал 2027
5,1к,Чистовая,На улицу,13133000,"55,4","3,15",3 квартал 2027
6,1к,Чистовая,Во двор,12847500,"57,1","3,15",3 квартал 2027
6,2к,Чистовая,Во двор,16074000,"86,1","3,15",3 квартал 2027
6,1к,Чистовая,Во двор и на улицу,15412500,"68,5","3,15",3 квартал 2027
6,1к,Чистовая,На улицу,14602500,"64,9","3,15",3 квартал 2027
6,1к,Чистовая,На улицу,12218700,"50,7","3,15",3 квартал 2027
6,1к,Чистовая,На улицу,13320000,"59,2","3,15",3 квартал 2027
6,1к,Чистовая,На улицу,12742000,"55,4","3,15",3 квартал 2027
7,1к,Чистовая,Во двор,13133000,"57,1","3,15",3 квартал 2027
7,2к,Чистовая,Во двор,17392200,"86,1","3,15",3 квартал 2027
7,1к,Чистовая,Во двор и на улицу,15755000,"68,5","3,15",3 квартал 2027
7,1к,Чистовая,На улицу,16874000,"64,9","3,15",3 квартал 2027
8,1к,Чистовая,Во двор,13133000,"57,1","3,15",3 квартал 2027
8,2к,Чистовая,Во двор,17650500,"86,1","3,15",3 квартал 2027
8,1к,Чистовая,Во двор и на улицу,16074000,"68,4","3,15",3 квартал 2027
8,1к,Чистовая,На улицу,16874000,"64,9","3,15",3 квартал 2027
8,1к,Чистовая,На улицу,13942500,"50,7","3,15",3 квартал 2027
8,1к,Чистовая,На улицу,14504000,"59,2","3,15",3 квартал 2027
9,1к,Чистовая,Во двор,13465500,"57,3","3,15",3 квартал 2027
9,2к,Чистовая,Во двор,19680000,82,"3,15",3 квартал 2027
9,1к,Чистовая,Во двор и на улицу,15360000,"63,9","3,15",3 квартал 2027
9,1к,Чистовая,На улицу,15700000,"62,8","3,15",3 квартал 2027
9,1к,Чистовая,На улицу,14504000,"59,2","3,15",3 квартал 2027
10,1к,Чистовая,Во двор,15240000,"50,8","3,15",3 квартал 2027
2,1к,Серый ключ,Во двор,8437800,"57,4","3,15",3 квартал 2027
2,2к,Серый ключ,На улицу,13581000,"100,6","3,15",3 квартал 2027
2,2к,Серый ключ,На улицу,11999000,"84,5","3,15",3 квартал 2027
2,2к,Серый ключ,Во двор и на улицу,9963600,"72,2","3,15",3 квартал 2027
3,1к,Серый ключ,Во двор,9184000,"57,4","3,15",3 квартал 2027
3,2к,Серый ключ,На улицу,13997300,"100,7","3,15",3 квартал 2027
3,1к,Серый ключ,На улицу,10385000,"60,7","3,15",3 квартал 2027
3,2к,Серый ключ,На улицу,12097800,"84,6","3,15",3 квартал 2027
3,2к,Серый ключ,Во двор и на улицу,10136000,"72,4","3,15",3 квартал 2027
4,1к,Серый ключ,Во двор,9011800,"57,4","3,15",3 квартал 2027
4,2к,Серый ключ,На улицу,14601500,"100,7","3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,9937200,"63,7","3,15",3 квартал 2027
4,1к,Серый ключ,На улицу,9145000,59,"3,15",3 квартал 2027
4,2к,Серый ключ,На улицу,12421500,"84,5","3,15",3 квартал 2027
4,2к,Серый ключ,Во двор и на улицу,10483500,"72,3","3,15",3 квартал 2027
5,1к,Серый ключ,Во двор,9184000,"57,4","3,15",3 квартал 2027
5,2к,Серый ключ,На улицу,14601500,"100,7","3,15",3 квартал 2027
5,1к,Серый ключ,На улицу,10000900,"63,7","3,15",3 квартал 2027
