Этаж,Комнатность,Отделка,Вид из окон,Стоимость,Общая площадь (м.кв.),Высота потолка (м.),Срок сдачи
3,2К,Без отделки,Во двор и на улицу,9792550,"70,45","2,7",3 квартал 2027
4,2К,Без отделки,Во двор и на улицу,10033400,"59,02","2,7",3 квартал 2027
5,2К,Без отделки,Во двор и на улицу,11137000,"63,64","2,7",3 квартал 2027
6,2К,Без отделки,Во двор и на улицу,11137000,"63,64","2,7",3 квартал 2027
7,2К,Без отделки,Во двор и на улицу,11550600,"64,17","2,7",3 квартал 2027
8,2К,Без отделки,Во двор и на улицу,11548800,"64,16","2,7",3 квартал 2027
9,2К,Без отделки,Во двор и на улицу,12190400,"64,16","2,7",3 квартал 2027
10,2К,Без отделки,Во двор и на улицу,12190400,"64,16","2,7",3 квартал 2027
11,2К,Без отделки,Во двор и на улицу,12190400,"64,16","2,7",3 квартал 2027
12,2К,Без отделки,Во двор и на улицу,12190400,"64,16","2,7",3 квартал 2027
3,1К,Без отделки,Во двор и на улицу,10176250,"58,15","2,7",3 квартал 2027
3,1К,Без отделки,На улицу,5733000,"38,22","2,7",3 квартал 2027
3,1К,Без отделки,На улицу,5731500,"38,21","2,7",3 квартал 2027
3,2К,Без отделки,На улицу,8124350,"56,03","2,7",3 квартал 2027
3,2К,Без отделки,Во двор,12871200,"83,04","2,7",3 квартал 2027
3,2К,Без отделки,Во двор и на улицу,13300200,"73,89","2,7",3 квартал 2027
4,1К,Без отделки,Во двор и на улицу,10467000,"58,15","2,7",3 квартал 2027
4,1К,Без отделки,На улицу,6640200,"42,84","2,7",3 квартал 2027
4,1К,Без отделки,На улицу,6640200,"42,84","2,7",3 квартал 2027
4,2К,Без отделки,На улицу,9795000,"65,3","2,7",3 квартал 2027
4,2К,Без отделки,Во двор и на улицу,13305600,"73,92","2,7",3 квартал 2027
5,1К,Без отделки,На улицу,10761450,"58,17","2,7",3 квартал 2027
5,1К,Без отделки,На улицу,7068600,"42,84","2,7",3 квартал 2027
5,1К,Без отделки,На улицу,7711200,"42,84","2,7",3 квартал 2027
5,2К,Без отделки,На улицу,10449600,"65,31","2,7",3 квартал 2027
5,2К,Без отделки,Во двор и на улицу,14044800,"73,92","2,7",3 квартал 2027
6,1К,Без отделки,Во двор и на улицу,10761450,"58,17","2,7",3 квартал 2027
6,1К,Без отделки,На улицу,7068600,"42,84","2,7",3 квартал 2027
6,1К,Без отделки,На улицу,7068600,"42,84","2,7",3 квартал 2027
6,2К,Без отделки,На улицу,10449600,"65,31","2,7",3 квартал 2027
6,2К,Без отделки,Во двор и на улицу,14044800,"73,92","2,7",3 квартал 2027
7,1К,Без отделки,Во двор и на улицу,11526470,"58,51","2,7",3 квартал 2027
7,1К,Без отделки,На улицу,7372900,"43,37","2,7",3 квартал 2027
7,1К,Без отделки,На улицу,7372900,"43,37","2,7",3 квартал 2027
7,2К,Без отделки,На улицу,10612800,"66,33","2,7",3 квартал 2027
7,2К,Без отделки,Во двор и на улицу,15006000,"75,03","2,7",3 квартал 2027
8,1К,Без отделки,Во двор и на улицу,10428600,"53,48","2,7",3 квартал 2027
8,1К,Без отделки,На улицу,7372900,"43,37","2,7",3 квартал 2027
8,1К,Без отделки,На улицу,7372900,"43,37","2,7",3 квартал 2027
8,2К,Без отделки,На улицу,10617600,"66,36","2,7",3 квартал 2027
8,2К,Без отделки,Во двор и на улицу,13918000,"69,59","2,7",3 квартал 2027
9,1К,Без отделки,Во двор и на улицу,10963400,"53,48","2,7",3 квартал 2027
9,1К,Без отделки,На улицу,7589750,"43,37","2,7",3 квартал 2027
9,1К,Без отделки,На улицу,7589750,"43,37","2,7",3 квартал 2027
9,2К,Без отделки,На улицу,10949400,"66,36","2,7",3 квартал 2027
9,2К,Без отделки,Во двор и на улицу,14265950,"69,59","2,7",3 квартал 2027
10,1К,Без отделки,Во двор и на улицу,10963400,"53,48","2,7",3 квартал 2027
10,1К,Без отделки,На улицу,7589750,"43,37","2,7",3 квартал 2027
10,1К,Без отделки,На улицу,7589750,"43,37","2,7",3 квартал 2027
10,2К,Без отделки,На улицу,10949400,"66,36","2,7",3 квартал 2027
10,2К,Без отделки,Во двор и на улицу,14265950,"69,59","2,7",3 квартал 2027
11,1К,Без отделки,Во двор и на улицу,10963400,"53,48","2,7",3 квартал 2027
11,1К,Без отделки,На улицу,7806600,"43,37","2,7",3 квартал 2027
11,1К,Без отделки,На улицу,7806600,"43,37","2,7",3 квартал 2027
11,2К,Без отделки,На улицу,11281200,"66,36","2,7",3 квартал 2027
11,2К,Без отделки,Во двор и на улицу,14613900,"69,59","2,7",3 квартал 2027
